Transaction_ID,Passenger_ID,Date_of_Purchase,Time_of_Purchase,Purchase_Type,Payment_Method,Price
197,197,1/2/2024,06:17.0,Online,Credit Card,34
198,198,1/2/2024,06:28.0,Station,Contactless,53
199,199,1/2/2024,06:51.0,Station,Contactless,3
200,200,1/2/2024,09:28.0,Online,Credit Card,9
201,201,1/2/2024,10:59.0,Online,Credit Card,3
202,202,1/2/2024,11:06.0,Online,Credit Card,9
203,203,1/2/2024,23:03.0,Station,Credit Card,5
204,204,1/2/2024,28:47.0,Station,Credit Card,35
205,205,1/2/2024,30:54.0,Station,Credit Card,108
206,206,1/2/2024,31:53.0,Station,Credit Card,76
207,207,1/2/2024,34:01.0,Station,Credit Card,76
208,208,1/2/2024,34:19.0,Station,Credit Card,76
209,209,1/2/2024,35:34.0,Station,Contactless,53
210,210,1/2/2024,42:18.0,Online,Contactless,12
211,211,1/2/2024,50:50.0,Online,Credit Card,72
212,212,1/2/2024,54:35.0,Station,Credit Card,4
213,213,1/2/2024,57:10.0,Station,Credit Card,4
214,214,1/2/2024,15:13.0,Station,Credit Card,4
215,215,1/2/2024,19:26.0,Online,Contactless,13
216,216,1/2/2024,32:20.0,Station,Contactless,6
217,217,1/2/2024,41:07.0,Online,Credit Card,2
218,218,1/2/2024,42:08.0,Online,Contactless,12
219,219,1/2/2024,43:57.0,Online,Contactless,13
220,220,1/2/2024,48:48.0,Online,Credit Card,106
221,221,1/2/2024,51:36.0,Station,Debit Card,3
222,222,1/2/2024,56:19.0,Online,Credit Card,65
223,223,1/2/2024,01:57.0,Station,Contactless,35
224,224,1/2/2024,13:30.0,Online,Contactless,7
225,225,1/2/2024,18:30.0,Online,Credit Card,19
226,226,1/2/2024,19:10.0,Station,Credit Card,24
227,227,1/2/2024,20:02.0,Station,Contactless,10
228,228,1/2/2024,01:28.0,Station,Credit Card,19
229,229,1/2/2024,06:30.0,Station,Contactless,35
230,230,1/2/2024,08:31.0,Station,Contactless,3
231,231,1/2/2024,33:42.0,Station,Contactless,3
232,232,1/2/2024,39:58.0,Online,Contactless,8
233,233,1/2/2024,40:30.0,Online,Contactless,35
234,234,1/2/2024,00:01.0,Online,Contactless,14
235,235,1/2/2024,03:18.0,Station,Credit Card,35
236,236,1/2/2024,06:40.0,Station,Credit Card,35
237,237,1/2/2024,21:58.0,Online,Credit Card,52
238,238,1/2/2024,24:23.0,Online,Credit Card,35
239,239,1/2/2024,33:07.0,Online,Contactless,8
240,240,1/2/2024,41:50.0,Station,Credit Card,19
241,241,1/2/2024,41:58.0,Station,Credit Card,19
242,242,1/2/2024,57:22.0,Online,Credit Card,8
243,243,1/2/2024,10:50.0,Online,Contactless,19
244,244,1/2/2024,16:55.0,Station,Contactless,7
245,245,1/2/2024,18:09.0,Station,Credit Card,35
246,246,1/2/2024,23:21.0,Online,Credit Card,8
247,247,1/2/2024,26:49.0,Station,Contactless,7
248,248,1/2/2024,26:59.0,Online,Credit Card,7
249,249,1/2/2024,30:17.0,Station,Credit Card,67
250,250,1/2/2024,36:55.0,Online,Contactless,13
251,251,1/2/2024,37:24.0,Station,Credit Card,9
252,252,1/2/2024,39:05.0,Station,Credit Card,6
253,253,1/2/2024,39:57.0,Station,Debit Card,11
254,254,1/2/2024,42:12.0,Station,Debit Card,9
255,255,1/2/2024,42:55.0,Station,Debit Card,9
256,256,1/2/2024,43:54.0,Station,Debit Card,11
257,257,1/2/2024,45:29.0,Online,Credit Card,70
258,258,1/2/2024,46:57.0,Online,Contactless,13
259,259,1/2/2024,56:35.0,Online,Credit Card,2
260,260,1/2/2024,57:58.0,Online,Credit Card,2
261,261,1/2/2024,18:18.0,Station,Contactless,70
262,262,1/2/2024,19:08.0,Online,Contactless,86
263,263,1/2/2024,20:24.0,Online,Credit Card,18
264,264,1/2/2024,23:21.0,Station,Credit Card,10
265,265,1/2/2024,45:48.0,Online,Credit Card,70
266,266,1/2/2024,58:45.0,Station,Contactless,6
267,267,1/2/2024,00:45.0,Station,Credit Card,5
268,268,1/2/2024,07:33.0,Station,Credit Card,19
269,269,1/2/2024,09:30.0,Station,Debit Card,76
270,270,1/2/2024,11:10.0,Station,Credit Card,5
271,271,1/2/2024,18:23.0,Online,Credit Card,2
272,272,1/2/2024,23:42.0,Online,Credit Card,2
273,273,1/2/2024,26:52.0,Station,Credit Card,24
274,274,1/2/2024,40:03.0,Online,Contactless,35
275,275,1/2/2024,44:07.0,Online,Contactless,8
276,276,1/2/2024,02:40.0,Online,Credit Card,4
277,277,1/2/2024,09:56.0,Station,Contactless,13
278,278,1/2/2024,10:40.0,Station,Credit Card,13
279,279,1/2/2024,14:34.0,Online,Credit Card,4
280,280,1/2/2024,18:59.0,Online,Credit Card,16
281,281,1/2/2024,20:02.0,Online,Credit Card,10
282,282,1/2/2024,21:32.0,Online,Credit Card,10
283,283,1/2/2024,22:48.0,Online,Credit Card,43
284,284,1/2/2024,24:25.0,Station,Contactless,13
285,285,1/2/2024,25:08.0,Online,Contactless,5
286,286,1/2/2024,26:14.0,Online,Credit Card,143
287,287,1/2/2024,27:15.0,Online,Credit Card,11
288,288,1/2/2024,28:04.0,Online,Credit Card,16
289,289,1/2/2024,29:43.0,Online,Credit Card,43
290,290,1/2/2024,30:06.0,Station,Credit Card,8
291,291,1/2/2024,31:20.0,Station,Credit Card,4
292,292,1/2/2024,34:17.0,Station,Contactless,2
293,293,1/2/2024,36:40.0,Station,Credit Card,4
294,294,1/2/2024,37:55.0,Station,Credit Card,4
295,295,1/2/2024,38:47.0,Station,Credit Card,23
296,296,1/2/2024,43:55.0,Station,Credit Card,12
297,297,1/2/2024,46:28.0,Online,Credit Card,35
298,298,1/2/2024,49:54.0,Online,Contactless,7
299,299,1/2/2024,05:48.0,Online,Contactless,7
300,300,1/2/2024,06:16.0,Station,Contactless,53
301,301,1/2/2024,08:29.0,Online,Contactless,90
302,302,1/2/2024,13:20.0,Station,Debit Card,50
303,303,1/2/2024,14:25.0,Online,Contactless,7
304,304,1/2/2024,21:12.0,Online,Credit Card,31
305,305,1/2/2024,22:18.0,Online,Credit Card,15
306,306,1/2/2024,24:22.0,Online,Credit Card,3
307,307,1/2/2024,31:55.0,Online,Credit Card,35
308,308,1/2/2024,35:18.0,Station,Credit Card,5
309,309,1/2/2024,39:02.0,Online,Contactless,35
310,310,1/2/2024,44:32.0,Station,Credit Card,3
311,311,1/2/2024,50:20.0,Online,Contactless,7
312,312,1/2/2024,55:27.0,Online,Credit Card,35
313,313,1/2/2024,55:44.0,Station,Credit Card,4
314,314,1/2/2024,59:30.0,Station,Credit Card,65
315,315,1/2/2024,20:49.0,Station,Credit Card,54
316,316,1/2/2024,30:04.0,Station,Credit Card,10
317,317,1/2/2024,34:21.0,Online,Credit Card,9
318,318,1/2/2024,34:34.0,Online,Credit Card,2
319,319,1/2/2024,42:19.0,Station,Credit Card,3
320,320,1/2/2024,43:46.0,Station,Credit Card,4
321,321,1/2/2024,01:10.0,Online,Contactless,13
322,322,1/2/2024,01:42.0,Station,Credit Card,3
323,323,1/2/2024,02:34.0,Online,Credit Card,2
324,324,1/2/2024,03:09.0,Station,Credit Card,3
325,325,1/2/2024,06:32.0,Station,Contactless,23
326,326,1/2/2024,06:34.0,Station,Credit Card,10
327,327,1/2/2024,18:10.0,Online,Credit Card,8
328,328,1/2/2024,19:43.0,Online,Contactless,3
329,329,1/2/2024,20:03.0,Online,Credit Card,5
330,330,1/2/2024,20:20.0,Online,Credit Card,8
331,331,1/2/2024,20:41.0,Online,Contactless,3
332,332,1/2/2024,21:26.0,Online,Credit Card,7
333,333,1/2/2024,21:59.0,Online,Credit Card,8
334,334,1/2/2024,23:07.0,Online,Contactless,3
335,335,1/2/2024,24:22.0,Online,Credit Card,7
336,336,1/2/2024,26:32.0,Online,Credit Card,7
337,337,1/2/2024,27:40.0,Station,Credit Card,48
338,338,1/2/2024,29:19.0,Station,Contactless,35
339,339,1/2/2024,30:13.0,Station,Credit Card,5
340,340,1/2/2024,30:17.0,Station,Contactless,13
341,341,1/2/2024,30:57.0,Station,Credit Card,5
342,342,1/2/2024,32:41.0,Station,Credit Card,5
343,343,1/2/2024,32:50.0,Station,Credit Card,5
344,344,1/2/2024,40:59.0,Station,Contactless,53
345,345,1/2/2024,45:50.0,Station,Credit Card,53
346,346,1/2/2024,52:36.0,Station,Credit Card,3
347,347,1/2/2024,01:44.0,Station,Contactless,35
348,348,1/2/2024,36:39.0,Station,Credit Card,13
349,349,1/2/2024,38:33.0,Online,Credit Card,13
350,350,1/2/2024,39:38.0,Station,Credit Card,13
351,351,1/2/2024,44:12.0,Station,Credit Card,13
352,352,1/2/2024,47:08.0,Station,Credit Card,3
353,353,1/2/2024,55:40.0,Online,Credit Card,3
354,354,1/2/2024,58:19.0,Station,Credit Card,3
355,355,1/2/2024,40:21.0,Online,Contactless,6
356,356,1/2/2024,55:59.0,Station,Credit Card,39
357,357,1/2/2024,01:56.0,Station,Credit Card,13
358,358,1/2/2024,05:17.0,Station,Contactless,3
359,359,1/2/2024,05:47.0,Online,Contactless,57
360,360,1/2/2024,05:48.0,Station,Credit Card,2
361,361,1/2/2024,07:29.0,Station,Contactless,3
362,362,1/2/2024,10:03.0,Station,Credit Card,2
363,363,1/2/2024,44:41.0,Station,Credit Card,13
364,364,1/2/2024,58:39.0,Station,Contactless,7
365,365,1/3/2024,02:17.0,Station,Credit Card,5
366,366,1/3/2024,05:02.0,Online,Contactless,107
367,367,1/3/2024,05:05.0,Online,Credit Card,19
368,368,1/3/2024,07:02.0,Station,Credit Card,12
369,369,1/3/2024,08:45.0,Station,Credit Card,5
370,370,1/3/2024,14:18.0,Online,Contactless,3
371,371,1/3/2024,15:32.0,Online,Credit Card,5
372,372,1/3/2024,25:49.0,Online,Contactless,11
373,373,1/3/2024,55:46.0,Station,Contactless,19
374,374,1/3/2024,22:00.0,Online,Contactless,12
375,375,1/3/2024,22:48.0,Online,Contactless,5
376,376,1/3/2024,24:11.0,Online,Contactless,12
377,377,1/3/2024,24:42.0,Online,Contactless,12
378,378,1/3/2024,27:45.0,Online,Contactless,8
379,379,1/3/2024,30:45.0,Online,Credit Card,5
380,380,1/3/2024,46:29.0,Online,Contactless,3
381,381,1/3/2024,50:18.0,Station,Credit Card,13
382,382,1/3/2024,52:14.0,Station,Credit Card,3
383,383,1/3/2024,07:04.0,Station,Contactless,50
384,384,1/3/2024,10:09.0,Station,Credit Card,11
385,385,1/3/2024,20:52.0,Online,Contactless,59
386,386,1/3/2024,38:11.0,Online,Credit Card,5
387,387,1/3/2024,50:38.0,Station,Contactless,7
388,388,1/3/2024,51:20.0,Station,Contactless,7
389,389,1/3/2024,13:43.0,Online,Contactless,3
390,390,1/3/2024,16:48.0,Station,Credit Card,54
391,391,1/3/2024,18:57.0,Online,Contactless,8
392,392,1/3/2024,20:12.0,Online,Credit Card,3
393,393,1/3/2024,24:32.0,Online,Contactless,4
394,394,1/3/2024,26:17.0,Online,Contactless,53
395,395,1/3/2024,33:15.0,Station,Contactless,15
396,396,1/3/2024,34:52.0,Online,Credit Card,3
397,397,1/3/2024,56:53.0,Online,Credit Card,7
398,398,1/3/2024,33:15.0,Online,Credit Card,3
399,399,1/3/2024,42:58.0,Online,Contactless,70
400,400,1/3/2024,46:09.0,Online,Debit Card,5
401,401,1/3/2024,51:10.0,Online,Debit Card,7
402,402,1/3/2024,56:47.0,Online,Credit Card,3
403,403,1/3/2024,56:57.0,Station,Contactless,70
404,404,1/3/2024,57:17.0,Online,Credit Card,3
405,405,1/3/2024,01:11.0,Online,Credit Card,7
406,406,1/3/2024,04:14.0,Online,Credit Card,78
407,407,1/3/2024,06:50.0,Station,Contactless,13
408,408,1/3/2024,09:06.0,Online,Credit Card,7
409,409,1/3/2024,10:01.0,Online,Contactless,29
410,410,1/3/2024,13:36.0,Online,Contactless,5
411,411,1/3/2024,17:04.0,Online,Contactless,25
412,412,1/3/2024,18:15.0,Station,Credit Card,6
413,413,1/3/2024,19:08.0,Station,Credit Card,6
414,414,1/3/2024,27:35.0,Online,Contactless,7
415,415,1/3/2024,40:27.0,Online,Credit Card,44
416,416,1/3/2024,43:17.0,Online,Contactless,35
417,417,1/3/2024,58:17.0,Online,Credit Card,13
418,418,1/3/2024,58:18.0,Station,Contactless,4
419,419,1/3/2024,01:01.0,Online,Credit Card,86
420,420,1/3/2024,01:49.0,Online,Credit Card,18
421,421,1/3/2024,05:46.0,Online,Credit Card,18
422,422,1/3/2024,06:36.0,Online,Credit Card,70
423,423,1/3/2024,10:50.0,Online,Credit Card,22
424,424,1/3/2024,11:24.0,Station,Contactless,6
425,425,1/3/2024,11:54.0,Online,Credit Card,7
426,426,1/3/2024,12:43.0,Online,Credit Card,18
427,427,1/3/2024,14:54.0,Online,Credit Card,18
428,428,1/3/2024,20:23.0,Online,Contactless,13
429,429,1/3/2024,27:42.0,Online,Contactless,13
430,430,1/3/2024,31:47.0,Online,Credit Card,95
431,431,1/3/2024,32:24.0,Station,Credit Card,151
432,432,1/3/2024,35:56.0,Station,Credit Card,151
433,433,1/3/2024,38:42.0,Station,Credit Card,151
434,434,1/3/2024,39:46.0,Station,Credit Card,151
435,435,1/3/2024,39:48.0,Online,Contactless,11
436,436,1/3/2024,41:37.0,Online,Credit Card,144
437,437,1/3/2024,54:34.0,Online,Credit Card,11
438,438,1/3/2024,03:45.0,Station,Contactless,19
439,439,1/3/2024,05:02.0,Online,Credit Card,17
440,440,1/3/2024,14:29.0,Online,Credit Card,70
441,441,1/3/2024,17:49.0,Station,Credit Card,43
442,442,1/3/2024,18:15.0,Online,Credit Card,54
443,443,1/3/2024,19:19.0,Online,Credit Card,35
444,444,1/3/2024,19:56.0,Online,Credit Card,54
445,445,1/3/2024,20:30.0,Online,Credit Card,114
446,446,1/3/2024,21:23.0,Online,Credit Card,35
447,447,1/3/2024,21:48.0,Online,Credit Card,25
448,448,1/3/2024,23:52.0,Station,Contactless,2
449,449,1/3/2024,25:02.0,Online,Contactless,25
450,450,1/3/2024,25:28.0,Online,Contactless,54
451,451,1/3/2024,27:49.0,Online,Credit Card,25
452,452,1/3/2024,28:13.0,Online,Credit Card,25
453,453,1/3/2024,29:11.0,Online,Credit Card,35
454,454,1/3/2024,42:40.0,Online,Credit Card,3
455,455,1/3/2024,45:16.0,Online,Credit Card,6
456,456,1/3/2024,46:27.0,Online,Debit Card,18
457,457,1/3/2024,46:29.0,Online,Debit Card,8
458,458,1/3/2024,47:47.0,Online,Contactless,48
459,459,1/3/2024,50:10.0,Online,Debit Card,8
460,460,1/3/2024,54:57.0,Online,Contactless,48
461,461,1/3/2024,58:04.0,Online,Credit Card,2
462,462,1/3/2024,58:17.0,Online,Credit Card,2
463,463,1/3/2024,05:57.0,Online,Debit Card,72
464,464,1/3/2024,07:04.0,Online,Credit Card,15
465,465,1/3/2024,09:00.0,Online,Credit Card,4
466,466,1/3/2024,09:42.0,Online,Credit Card,7
467,467,1/3/2024,11:10.0,Online,Credit Card,8
468,468,1/3/2024,14:47.0,Station,Credit Card,8
469,469,1/3/2024,16:27.0,Online,Credit Card,3
470,470,1/3/2024,21:46.0,Online,Credit Card,18
471,471,1/3/2024,22:52.0,Online,Credit Card,18
472,472,1/3/2024,25:35.0,Online,Credit Card,13
473,473,1/3/2024,29:13.0,Online,Credit Card,13
474,474,1/3/2024,56:14.0,Online,Credit Card,35
475,475,1/3/2024,02:37.0,Station,Credit Card,14
476,476,1/3/2024,03:33.0,Online,Credit Card,3
477,477,1/3/2024,04:21.0,Online,Credit Card,7
478,478,1/3/2024,05:18.0,Online,Credit Card,35
479,479,1/3/2024,12:19.0,Station,Contactless,10
480,480,1/3/2024,14:51.0,Online,Credit Card,8
481,481,1/3/2024,23:26.0,Station,Contactless,52
482,482,1/3/2024,32:43.0,Station,Credit Card,76
483,483,1/3/2024,33:54.0,Online,Contactless,12
484,484,1/3/2024,34:33.0,Station,Credit Card,76
485,485,1/3/2024,34:38.0,Online,Credit Card,48
486,486,1/3/2024,36:32.0,Station,Credit Card,76
487,487,1/3/2024,36:40.0,Station,Contactless,4
488,488,1/3/2024,37:22.0,Station,Credit Card,76
489,489,1/3/2024,38:05.0,Station,Credit Card,76
490,490,1/3/2024,39:14.0,Online,Credit Card,48
491,491,1/3/2024,40:32.0,Station,Credit Card,76
492,492,1/3/2024,42:19.0,Station,Contactless,4
493,493,1/3/2024,44:03.0,Station,Credit Card,118
494,494,1/3/2024,44:48.0,Station,Credit Card,15
495,495,1/3/2024,44:48.0,Online,Credit Card,48
496,496,1/3/2024,47:12.0,Online,Credit Card,72
497,497,1/3/2024,16:33.0,Online,Credit Card,10
498,498,1/3/2024,20:10.0,Online,Contactless,13
499,499,1/3/2024,26:21.0,Online,Credit Card,10
500,500,1/3/2024,30:15.0,Station,Contactless,6
501,501,1/3/2024,32:02.0,Online,Contactless,13
502,502,1/3/2024,44:06.0,Online,Contactless,12
503,503,1/3/2024,44:13.0,Station,Debit Card,3
504,504,1/3/2024,59:56.0,Online,Credit Card,13
