Ticket_ID,Transaction_ID,Ticket_Class,Ticket_Type
374,374,Standard,Off-Peak
375,375,Standard,Advance
376,376,Standard,Off-Peak
377,377,Standard,Off-Peak
378,378,Standard,Off-Peak
379,379,Standard,Off-Peak
380,380,Standard,Advance
381,381,Standard,Off-Peak
382,382,Standard,Advance
383,383,Standard,Off-Peak
384,384,Standard,Off-Peak
385,385,Standard,Off-Peak
386,386,Standard,Off-Peak
387,387,Standard,Off-Peak
388,388,Standard,Off-Peak
389,389,Standard,Advance
390,390,Standard,Advance
391,391,Standard,Advance
392,392,Standard,Advance
393,393,Standard,Off-Peak
394,394,Standard,Off-Peak
395,395,Standard,Off-Peak
396,396,Standard,Advance
397,397,Standard,Advance
398,398,Standard,Advance
399,399,Standard,Anytime
400,400,Standard,Anytime
401,401,Standard,Anytime
402,402,Standard,Anytime
403,403,Standard,Anytime
404,404,Standard,Anytime
405,405,Standard,Anytime
406,406,Standard,Anytime
407,407,Standard,Anytime
408,408,Standard,Anytime
409,409,Standard,Anytime
410,410,Standard,Anytime
411,411,Standard,Anytime
412,412,Standard,Anytime
413,413,Standard,Anytime
414,414,Standard,Advance
415,415,Standard,Anytime
416,416,Standard,Advance
417,417,Standard,Anytime
418,418,Standard,Advance
419,419,Standard,Advance
420,420,Standard,Anytime
421,421,Standard,Anytime
422,422,Standard,Anytime
423,423,Standard,Advance
424,424,Standard,Anytime
425,425,Standard,Anytime
426,426,Standard,Anytime
427,427,Standard,Anytime
428,428,Standard,Anytime
429,429,Standard,Anytime
430,430,Standard,Anytime
431,431,Standard,Anytime
432,432,Standard,Anytime
433,433,Standard,Anytime
434,434,Standard,Anytime
435,435,Standard,Anytime
436,436,Standard,Anytime
437,437,Standard,Anytime
438,438,Standard,Anytime
439,439,Standard,Anytime
440,440,Standard,Anytime
441,441,Standard,Advance
442,442,Standard,Anytime
443,443,Standard,Anytime
444,444,Standard,Anytime
445,445,Standard,Anytime
446,446,Standard,Anytime
447,447,Standard,Anytime
448,448,Standard,Advance
449,449,Standard,Anytime
450,450,Standard,Anytime
451,451,Standard,Anytime
452,452,Standard,Anytime
453,453,Standard,Anytime
454,454,Standard,Off-Peak
455,455,Standard,Advance
456,456,Standard,Advance
457,457,Standard,Advance
458,458,Standard,Anytime
459,459,Standard,Advance
460,460,Standard,Anytime
461,461,Standard,Advance
462,462,Standard,Advance
463,463,Standard,Advance
464,464,Standard,Advance
465,465,Standard,Advance
466,466,Standard,Advance
467,467,Standard,Advance
468,468,Standard,Advance
469,469,Standard,Advance
470,470,Standard,Advance
471,471,Standard,Advance
472,472,Standard,Advance
473,473,Standard,Advance
474,474,Standard,Advance
475,475,Standard,Off-Peak
476,476,Standard,Advance
477,477,Standard,Advance
478,478,Standard,Advance
479,479,Standard,Off-Peak
480,480,Standard,Advance
481,481,Standard,Off-Peak
482,482,Standard,Advance
483,483,Standard,Off-Peak
484,484,Standard,Advance
485,485,Standard,Advance
486,486,Standard,Advance
487,487,Standard,Off-Peak
488,488,Standard,Advance
489,489,Standard,Advance
490,490,Standard,Advance
491,491,Standard,Advance
492,492,Standard,Off-Peak
493,493,Standard,Advance
494,494,Standard,Off-Peak
495,495,Standard,Advance
496,496,Standard,Advance
497,497,Standard,Off-Peak
498,498,Standard,Advance
499,499,Standard,Off-Peak
500,500,Standard,Advance
501,501,Standard,Advance
502,502,Standard,Off-Peak
503,503,Standard,Off-Peak
504,504,Standard,Advance
505,505,Standard,Off-Peak
506,506,Standard,Advance
507,507,Standard,Off-Peak
508,508,Standard,Off-Peak
509,509,Standard,Off-Peak
510,510,Standard,Advance
511,511,Standard,Off-Peak
512,512,Standard,Advance
513,513,Standard,Off-Peak
514,514,Standard,Off-Peak
515,515,Standard,Advance
516,516,Standard,Off-Peak
517,517,Standard,Off-Peak
518,518,Standard,Advance
519,519,Standard,Off-Peak
520,520,Standard,Off-Peak
521,521,Standard,Off-Peak
522,522,Standard,Advance
523,523,Standard,Off-Peak
524,524,Standard,Off-Peak
525,525,Standard,Advance
526,526,Standard,Advance
527,527,Standard,Advance
528,528,Standard,Off-Peak
529,529,Standard,Off-Peak
530,530,Standard,Off-Peak
531,531,Standard,Off-Peak
532,532,Standard,Anytime
533,533,Standard,Anytime
534,534,Standard,Anytime
535,535,Standard,Advance
536,536,Standard,Anytime
537,537,Standard,Anytime
538,538,Standard,Anytime
539,539,Standard,Anytime
540,540,Standard,Off-Peak
541,541,Standard,Advance
542,542,Standard,Advance
543,543,Standard,Off-Peak
544,544,Standard,Anytime
545,545,Standard,Advance
546,546,Standard,Advance
547,547,Standard,Advance
548,548,Standard,Advance
549,549,Standard,Anytime
550,550,Standard,Anytime
551,551,Standard,Advance
552,552,Standard,Anytime
553,553,Standard,Anytime
554,554,Standard,Anytime
555,555,Standard,Advance
556,556,Standard,Advance
557,557,Standard,Advance
558,558,Standard,Advance
559,559,Standard,Advance
560,560,Standard,Anytime
561,561,Standard,Anytime
562,562,Standard,Advance
563,563,Standard,Advance
564,564,Standard,Anytime
565,565,Standard,Anytime
566,566,Standard,Anytime
567,567,Standard,Anytime
568,568,Standard,Advance
569,569,Standard,Advance
570,570,Standard,Advance
571,571,Standard,Advance
572,572,Standard,Advance
573,573,Standard,Advance
574,574,Standard,Advance
575,575,Standard,Advance
576,576,Standard,Advance
577,577,Standard,Advance
578,578,Standard,Advance
579,579,Standard,Anytime
580,580,Standard,Anytime
581,581,Standard,Anytime
582,582,Standard,Advance
583,583,Standard,Off-Peak
584,584,Standard,Off-Peak
585,585,Standard,Off-Peak
586,586,Standard,Advance
587,587,Standard,Off-Peak
588,588,Standard,Off-Peak
589,589,Standard,Off-Peak
590,590,Standard,Off-Peak
591,591,Standard,Off-Peak
592,592,Standard,Advance
593,593,Standard,Advance
594,594,Standard,Advance
595,595,Standard,Advance
596,596,Standard,Advance
597,597,Standard,Advance
598,598,Standard,Advance
599,599,Standard,Advance
600,600,Standard,Off-Peak
601,601,Standard,Advance
602,602,Standard,Advance
603,603,Standard,Advance
604,604,Standard,Advance
605,605,Standard,Off-Peak
606,606,Standard,Advance
607,607,Standard,Off-Peak
608,608,Standard,Off-Peak
609,609,Standard,Off-Peak
610,610,Standard,Off-Peak
611,611,Standard,Advance
612,612,Standard,Advance
613,613,Standard,Advance
614,614,Standard,Advance
615,615,Standard,Advance
616,616,Standard,Advance
617,617,Standard,Advance
618,618,Standard,Advance
619,619,Standard,Advance
620,620,Standard,Advance
621,621,Standard,Advance
622,622,Standard,Off-Peak
623,623,Standard,Advance
624,624,Standard,Advance
625,625,Standard,Advance
626,626,Standard,Advance
627,627,Standard,Advance
628,628,Standard,Advance
629,629,Standard,Advance
630,630,Standard,Advance
631,631,Standard,Advance
632,632,Standard,Advance
633,633,Standard,Advance
634,634,Standard,Advance
635,635,Standard,Advance
636,636,Standard,Advance
637,637,Standard,Advance
638,638,Standard,Advance
639,639,Standard,Advance
640,640,Standard,Off-Peak
641,641,Standard,Off-Peak
642,642,Standard,Off-Peak
643,643,Standard,Off-Peak
644,644,Standard,Off-Peak
645,645,Standard,Off-Peak
646,646,Standard,Off-Peak
647,647,Standard,Off-Peak
648,648,Standard,Advance
649,649,Standard,Off-Peak
650,650,Standard,Off-Peak
651,651,Standard,Off-Peak
652,652,Standard,Advance
653,653,Standard,Off-Peak
654,654,Standard,Off-Peak
655,655,Standard,Advance
656,656,Standard,Advance
657,657,Standard,Off-Peak
658,658,Standard,Off-Peak
659,659,Standard,Advance
660,660,Standard,Advance
661,661,Standard,Off-Peak
662,662,Standard,Off-Peak
663,663,Standard,Off-Peak
664,664,Standard,Off-Peak
665,665,Standard,Off-Peak
666,666,Standard,Off-Peak
667,667,Standard,Off-Peak
668,668,Standard,Off-Peak
669,669,Standard,Off-Peak
670,670,Standard,Advance
671,671,Standard,Advance
672,672,Standard,Off-Peak
673,673,Standard,Off-Peak
674,674,Standard,Off-Peak
675,675,Standard,Off-Peak
676,676,Standard,Advance
677,677,Standard,Advance
678,678,Standard,Off-Peak
679,679,Standard,Off-Peak
680,680,Standard,Off-Peak
681,681,Standard,Advance
682,682,Standard,Anytime
683,683,Standard,Anytime
684,684,Standard,Anytime
685,685,Standard,Anytime
686,686,Standard,Anytime
687,687,Standard,Anytime
688,688,Standard,Anytime
689,689,Standard,Advance
690,690,Standard,Advance
691,691,Standard,Anytime
692,692,Standard,Advance
693,693,Standard,Anytime
694,694,Standard,Advance
695,695,Standard,Anytime
696,696,Standard,Anytime
697,697,Standard,Anytime
698,698,Standard,Advance
699,699,Standard,Advance
700,700,Standard,Advance
701,701,Standard,Advance
702,702,Standard,Anytime
703,703,Standard,Anytime
704,704,Standard,Anytime
705,705,Standard,Anytime
706,706,Standard,Anytime
707,707,Standard,Anytime
708,708,Standard,Advance
709,709,Standard,Anytime
710,710,Standard,Anytime
711,711,Standard,Anytime
712,712,Standard,Anytime
713,713,Standard,Anytime
714,714,Standard,Anytime
715,715,Standard,Anytime
716,716,Standard,Anytime
717,717,Standard,Anytime
718,718,Standard,Anytime
719,719,Standard,Anytime
720,720,Standard,Advance
721,721,Standard,Anytime
722,722,Standard,Anytime
723,723,Standard,Advance
724,724,Standard,Anytime
725,725,Standard,Off-Peak
726,726,Standard,Off-Peak
727,727,Standard,Off-Peak
728,728,Standard,Off-Peak
729,729,Standard,Advance
730,730,Standard,Off-Peak
731,731,Standard,Advance
732,732,Standard,Off-Peak
733,733,Standard,Advance
734,734,Standard,Advance
735,735,Standard,Advance
736,736,Standard,Advance
737,737,Standard,Advance
738,738,Standard,Advance
739,739,Standard,Advance
740,740,Standard,Advance
741,741,Standard,Advance
742,742,Standard,Advance
743,743,Standard,Advance
744,744,Standard,Advance
745,745,Standard,Advance
746,746,Standard,Advance
747,747,Standard,Advance
748,748,Standard,Off-Peak
749,749,Standard,Advance
750,750,Standard,Off-Peak
751,751,Standard,Advance
752,752,Standard,Advance
753,753,Standard,Advance
754,754,Standard,Advance
755,755,Standard,Advance
756,756,Standard,Advance
757,757,Standard,Off-Peak
758,758,Standard,Advance
759,759,Standard,Off-Peak
760,760,Standard,Off-Peak
761,761,Standard,Off-Peak
762,762,Standard,Off-Peak
763,763,Standard,Off-Peak
764,764,Standard,Off-Peak
765,765,Standard,Advance
766,766,Standard,Advance
767,767,Standard,Advance
768,768,Standard,Off-Peak
769,769,Standard,Advance
770,770,Standard,Off-Peak
771,771,Standard,Advance
772,772,Standard,Advance
773,773,Standard,Advance
774,774,Standard,Advance
775,775,Standard,Advance
776,776,Standard,Advance
777,777,Standard,Advance
778,778,Standard,Advance
779,779,Standard,Advance
780,780,Standard,Advance
781,781,Standard,Advance
782,782,Standard,Off-Peak
783,783,Standard,Advance
784,784,Standard,Advance
785,785,Standard,Advance
786,786,Standard,Off-Peak
787,787,Standard,Off-Peak
788,788,Standard,Off-Peak
789,789,Standard,Off-Peak
790,790,Standard,Advance
791,791,Standard,Advance
792,792,Standard,Advance
793,793,Standard,Off-Peak
794,794,Standard,Advance
795,795,Standard,Advance
796,796,Standard,Advance
797,797,Standard,Advance
798,798,Standard,Off-Peak
799,799,Standard,Off-Peak
800,800,Standard,Off-Peak
801,801,Standard,Advance
802,802,Standard,Advance
803,803,Standard,Off-Peak
804,804,Standard,Off-Peak
805,805,Standard,Off-Peak
806,806,Standard,Off-Peak
807,807,Standard,Anytime
808,808,Standard,Anytime
809,809,Standard,Anytime
810,810,Standard,Anytime
811,811,Standard,Anytime
812,812,Standard,Anytime
813,813,Standard,Anytime
814,814,Standard,Anytime
815,815,Standard,Advance
816,816,Standard,Anytime
817,817,Standard,Advance
818,818,Standard,Advance
819,819,Standard,Anytime
820,820,Standard,Off-Peak
821,821,Standard,Anytime
822,822,Standard,Anytime
823,823,Standard,Advance
824,824,Standard,Advance
825,825,Standard,Advance
826,826,Standard,Advance
827,827,Standard,Advance
828,828,Standard,Anytime
829,829,Standard,Anytime
830,830,Standard,Anytime
831,831,Standard,Anytime
832,832,Standard,Anytime
833,833,Standard,Anytime
834,834,Standard,Anytime
835,835,Standard,Anytime
836,836,Standard,Anytime
837,837,Standard,Anytime
838,838,Standard,Anytime
839,839,Standard,Anytime
840,840,Standard,Anytime
841,841,Standard,Anytime
842,842,Standard,Anytime
843,843,Standard,Advance
844,844,Standard,Anytime
845,845,Standard,Advance
846,846,Standard,Anytime
847,847,Standard,Anytime
848,848,Standard,Anytime
849,849,Standard,Anytime
850,850,Standard,Anytime
851,851,Standard,Advance
852,852,Standard,Anytime
853,853,Standard,Anytime
854,854,Standard,Anytime
855,855,Standard,Advance
856,856,Standard,Advance
857,857,Standard,Advance
858,858,Standard,Advance
859,859,Standard,Advance
860,860,Standard,Advance
861,861,Standard,Advance
862,862,Standard,Advance
863,863,Standard,Anytime
864,864,Standard,Advance
865,865,Standard,Off-Peak
866,866,Standard,Off-Peak
867,867,Standard,Advance
868,868,Standard,Advance
869,869,Standard,Advance
870,870,Standard,Advance
871,871,Standard,Off-Peak
872,872,Standard,Advance
873,873,Standard,Off-Peak
874,874,Standard,Off-Peak
875,875,Standard,Off-Peak
876,876,Standard,Advance
877,877,Standard,Advance
878,878,Standard,Advance
879,879,Standard,Advance
880,880,Standard,Off-Peak
881,881,Standard,Advance
882,882,Standard,Advance
883,883,Standard,Off-Peak
884,884,Standard,Advance
885,885,Standard,Advance
886,886,Standard,Advance
887,887,Standard,Advance
888,888,Standard,Advance
889,889,Standard,Advance
890,890,Standard,Advance
891,891,Standard,Off-Peak
892,892,Standard,Off-Peak
893,893,Standard,Off-Peak
894,894,Standard,Advance
895,895,Standard,Advance
896,896,Standard,Off-Peak
897,897,Standard,Advance
898,898,Standard,Advance
899,899,Standard,Advance
900,900,Standard,Advance
901,901,Standard,Advance
902,902,Standard,Advance
903,903,Standard,Advance
904,904,Standard,Advance
905,905,Standard,Advance
906,906,Standard,Advance
907,907,Standard,Advance
908,908,Standard,Advance
909,909,Standard,Advance
910,910,Standard,Advance
911,911,Standard,Advance
912,912,Standard,Off-Peak
913,913,Standard,Off-Peak
914,914,Standard,Off-Peak
915,915,Standard,Off-Peak
916,916,Standard,Off-Peak
917,917,Standard,Off-Peak
918,918,Standard,Off-Peak
919,919,Standard,Off-Peak
920,920,Standard,Off-Peak
921,921,Standard,Off-Peak
922,922,Standard,Advance
923,923,Standard,Advance
924,924,Standard,Off-Peak
925,925,Standard,Off-Peak
926,926,Standard,Advance
927,927,Standard,Advance
928,928,Standard,Off-Peak
929,929,Standard,Off-Peak
930,930,Standard,Off-Peak
931,931,Standard,Off-Peak
932,932,Standard,Off-Peak
933,933,Standard,Advance
934,934,Standard,Off-Peak
935,935,Standard,Advance
936,936,Standard,Advance
937,937,Standard,Advance
938,938,Standard,Off-Peak
939,939,Standard,Off-Peak
940,940,Standard,Off-Peak
941,941,Standard,Advance
942,942,Standard,Off-Peak
943,943,Standard,Advance
944,944,Standard,Off-Peak
945,945,Standard,Advance
946,946,Standard,Advance
947,947,Standard,Anytime
948,948,Standard,Anytime
949,949,Standard,Advance
950,950,Standard,Anytime
951,951,Standard,Anytime
952,952,Standard,Anytime
953,953,Standard,Anytime
954,954,Standard,Anytime
955,955,Standard,Anytime
956,956,Standard,Anytime
957,957,Standard,Anytime
958,958,Standard,Advance
959,959,Standard,Anytime
960,960,Standard,Anytime
961,961,Standard,Advance
962,962,Standard,Anytime
963,963,Standard,Advance
964,964,Standard,Anytime
965,965,Standard,Anytime
966,966,Standard,Anytime
967,967,Standard,Advance
968,968,Standard,Anytime
969,969,Standard,Advance
970,970,Standard,Advance
971,971,Standard,Advance
972,972,Standard,Advance
973,973,Standard,Anytime
974,974,Standard,Anytime
975,975,Standard,Anytime
976,976,Standard,Anytime
977,977,Standard,Anytime
978,978,Standard,Anytime
979,979,Standard,Anytime
980,980,Standard,Advance
981,981,Standard,Anytime
982,982,Standard,Anytime
983,983,Standard,Anytime
984,984,Standard,Anytime
985,985,Standard,Anytime
986,986,Standard,Anytime
987,987,Standard,Anytime
988,988,Standard,Anytime
989,989,Standard,Anytime
990,990,Standard,Off-Peak
991,991,Standard,Off-Peak
992,992,Standard,Advance
993,993,Standard,Advance
994,994,Standard,Advance
995,995,Standard,Advance
996,996,Standard,Advance
997,997,Standard,Anytime
998,998,Standard,Advance
999,999,Standard,Advance
1000,1000,Standard,Advance
1001,1001,Standard,Advance
1002,1002,Standard,Advance
1003,1003,Standard,Advance
1004,1004,Standard,Advance
1005,1005,Standard,Advance
1006,1006,Standard,Advance
1007,1007,Standard,Advance
1008,1008,Standard,Advance
1009,1009,Standard,Advance
1010,1010,Standard,Advance
1011,1011,Standard,Advance
1012,1012,Standard,Off-Peak
1013,1013,Standard,Advance
1014,1014,Standard,Off-Peak
1015,1015,Standard,Advance
1016,1016,Standard,Off-Peak
1017,1017,Standard,Off-Peak
1018,1018,Standard,Off-Peak
1019,1019,Standard,Advance
1020,1020,Standard,Advance
1021,1021,Standard,Advance
1022,1022,Standard,Advance
1023,1023,Standard,Off-Peak
1024,1024,Standard,Off-Peak
1025,1025,Standard,Advance
1026,1026,Standard,Advance
1027,1027,Standard,Advance
1028,1028,Standard,Advance
1029,1029,Standard,Off-Peak
1030,1030,Standard,Advance
1031,1031,Standard,Advance
1032,1032,Standard,Off-Peak
1033,1033,Standard,Advance
1034,1034,Standard,Advance
1035,1035,Standard,Off-Peak
1036,1036,Standard,Advance
1037,1037,Standard,Advance
1038,1038,Standard,Advance
1039,1039,Standard,Off-Peak
1040,1040,Standard,Off-Peak
1041,1041,Standard,Advance
1042,1042,Standard,Off-Peak
1043,1043,Standard,Advance
1044,1044,Standard,Off-Peak
1045,1045,Standard,Advance
1046,1046,Standard,Off-Peak
1047,1047,Standard,Advance
1048,1048,Standard,Advance
1049,1049,Standard,Advance
1050,1050,Standard,Advance
1051,1051,Standard,Off-Peak
1052,1052,Standard,Off-Peak
1053,1053,Standard,Advance
1054,1054,Standard,Advance
1055,1055,Standard,Off-Peak
1056,1056,Standard,Off-Peak
1057,1057,Standard,Advance
1058,1058,Standard,Off-Peak
1059,1059,Standard,Advance
1060,1060,Standard,Advance
1061,1061,Standard,Off-Peak
1062,1062,Standard,Anytime
1063,1063,Standard,Advance
1064,1064,Standard,Anytime
1065,1065,Standard,Anytime
1066,1066,Standard,Anytime
