Journey_ID,Ticket_ID,Date_of_Journey,Departure_Station,Departure_Station,Departure_Time,Arrival_Time,Actual_Arrival_Time,Journey_Status,Reason_for_Delay
155,157,1/2/2024,Liverpool Lime Street,London Euston,00:00.0,15:00.0,NULL,Cancelled,Staff Shortage
156,158,1/2/2024,London St Pancras,Birmingham New Street,00:00.0,20:00.0,NULL,Cancelled,Signal Failure
157,159,1/2/2024,Oxford,Bristol Temple Meads,00:00.0,15:00.0,15:00.0,On-time,NULL
158,160,1/2/2024,Liverpool Lime Street,London Euston,00:00.0,15:00.0,NULL,Cancelled,Staff Shortage
159,161,1/3/2024,Liverpool Lime Street,London Euston,00:00.0,15:00.0,15:00.0,On-time,NULL
160,162,1/2/2024,London St Pancras,Birmingham New Street,15:00.0,35:00.0,35:00.0,On-time,NULL
161,163,1/2/2024,London Euston,Birmingham New Street,15:00.0,35:00.0,35:00.0,On-time,NULL
162,164,1/2/2024,Manchester Piccadilly,Liverpool Lime Street,30:00.0,00:00.0,00:00.0,On-time,NULL
163,165,1/3/2024,Manchester Piccadilly,Liverpool Lime Street,30:00.0,00:00.0,00:00.0,On-time,NULL
164,166,1/2/2024,London Paddington,Oxford,45:00.0,15:00.0,15:00.0,On-time,NULL
165,167,1/2/2024,London Paddington,Reading,45:00.0,45:00.0,45:00.0,On-time,NULL
166,168,1/2/2024,London Paddington,Reading,45:00.0,45:00.0,45:00.0,On-time,NULL
167,169,1/3/2024,London Euston,Birmingham New Street,45:00.0,05:00.0,05:00.0,On-time,NULL
168,170,1/2/2024,Manchester Piccadilly,Liverpool Lime Street,45:00.0,15:00.0,15:00.0,On-time,NULL
169,171,1/2/2024,London Paddington,Oxford,45:00.0,15:00.0,15:00.0,On-time,NULL
170,172,1/2/2024,London Kings Cross,York,45:00.0,35:00.0,35:00.0,On-time,NULL
171,173,1/3/2024,Liverpool Lime Street,Manchester Piccadilly,45:00.0,15:00.0,15:00.0,On-time,NULL
172,174,1/2/2024,London Paddington,Reading,45:00.0,45:00.0,45:00.0,On-time,NULL
173,175,1/2/2024,Manchester Piccadilly,Nottingham,00:00.0,00:00.0,59:00.0,Delayed,Signal Failure
174,176,1/2/2024,Manchester Piccadilly,Leeds,00:00.0,45:00.0,39:00.0,Delayed,Signal Failure
175,177,1/2/2024,London Kings Cross,York,00:00.0,50:00.0,50:00.0,On-time,NULL
176,178,1/3/2024,Manchester Piccadilly,Liverpool Lime Street,00:00.0,30:00.0,30:00.0,On-time,NULL
177,179,1/2/2024,London Kings Cross,York,00:00.0,50:00.0,50:00.0,On-time,NULL
178,180,1/3/2024,Manchester Piccadilly,Liverpool Lime Street,00:00.0,30:00.0,30:00.0,On-time,NULL
179,181,1/2/2024,Manchester Piccadilly,Liverpool Lime Street,00:00.0,30:00.0,30:00.0,On-time,NULL
180,182,1/3/2024,Manchester Piccadilly,Liverpool Lime Street,15:00.0,45:00.0,NULL,Cancelled,Signal Failure
181,183,1/2/2024,Manchester Piccadilly,Liverpool Lime Street,15:00.0,45:00.0,45:00.0,On-time,NULL
182,184,1/3/2024,Manchester Piccadilly,Liverpool Lime Street,15:00.0,45:00.0,45:00.0,On-time,NULL
183,185,1/3/2024,York,Doncaster,30:00.0,00:00.0,00:00.0,On-time,NULL
184,186,1/3/2024,Birmingham New Street,London St Pancras,30:00.0,50:00.0,50:00.0,On-time,NULL
185,187,1/3/2024,London St Pancras,Birmingham New Street,30:00.0,50:00.0,50:00.0,On-time,NULL
186,188,1/3/2024,London St Pancras,Birmingham New Street,30:00.0,50:00.0,50:00.0,On-time,NULL
187,189,1/3/2024,London Paddington,Oxford,45:00.0,15:00.0,15:00.0,On-time,NULL
188,190,1/2/2024,London Kings Cross,York,45:00.0,35:00.0,NULL,Cancelled,Staff Shortage
189,191,1/3/2024,London Paddington,Reading,45:00.0,45:00.0,45:00.0,On-time,NULL
190,192,1/3/2024,London Kings Cross,York,45:00.0,35:00.0,35:00.0,On-time,NULL
191,193,1/3/2024,London Kings Cross,York,45:00.0,35:00.0,35:00.0,On-time,NULL
192,194,1/3/2024,London Paddington,Oxford,45:00.0,15:00.0,15:00.0,On-time,NULL
193,195,1/2/2024,London Kings Cross,York,45:00.0,35:00.0,NULL,Cancelled,Staff Shortage
194,196,1/3/2024,Manchester Piccadilly,Liverpool Lime Street,15:00.0,45:00.0,45:00.0,On-time,NULL
195,197,1/3/2024,York,Peterborough,30:00.0,40:00.0,40:00.0,On-time,NULL
196,198,1/2/2024,London Kings Cross,York,30:00.0,20:00.0,20:00.0,On-time,NULL
197,199,1/3/2024,Liverpool Lime Street,Manchester Piccadilly,30:00.0,00:00.0,00:00.0,On-time,NULL
198,200,1/3/2024,Reading,Swindon,30:00.0,15:00.0,15:00.0,On-time,NULL
199,201,1/3/2024,Liverpool Lime Street,Manchester Piccadilly,30:00.0,00:00.0,00:00.0,On-time,NULL
200,202,1/3/2024,Reading,Swindon,30:00.0,15:00.0,15:00.0,On-time,NULL
201,203,1/2/2024,Liverpool Lime Street,Manchester Piccadilly,45:00.0,15:00.0,15:00.0,On-time,NULL
202,204,1/3/2024,London Kings Cross,York,45:00.0,35:00.0,35:00.0,On-time,NULL
203,205,1/3/2024,London Euston,Manchester Piccadilly,00:00.0,50:00.0,50:00.0,On-time,NULL
204,206,1/3/2024,Liverpool Lime Street,London Euston,00:00.0,15:00.0,09:00.0,Delayed,Weather
205,207,1/3/2024,Liverpool Lime Street,London Euston,00:00.0,15:00.0,09:00.0,Delayed,Weather
206,208,1/3/2024,Liverpool Lime Street,London Euston,00:00.0,15:00.0,09:00.0,Delayed,Weather
207,209,1/2/2024,London Kings Cross,York,00:00.0,50:00.0,50:00.0,On-time,NULL
208,210,1/2/2024,London St Pancras,Birmingham New Street,00:00.0,20:00.0,20:00.0,On-time,NULL
209,211,1/3/2024,London Euston,Manchester Piccadilly,45:00.0,35:00.0,35:00.0,On-time,NULL
210,212,1/2/2024,Manchester Piccadilly,Liverpool Lime Street,15:00.0,45:00.0,45:00.0,On-time,NULL
211,213,1/3/2024,London Euston,Birmingham New Street,15:00.0,35:00.0,NULL,Cancelled,Signal Failure
212,214,1/3/2024,London Euston,Birmingham New Street,45:00.0,05:00.0,05:00.0,On-time,NULL
213,215,1/3/2024,London Paddington,Reading,45:00.0,45:00.0,45:00.0,On-time,NULL
214,216,1/3/2024,Manchester Piccadilly,Leeds,00:00.0,45:00.0,22:00.0,Delayed,Signal Failure
215,217,1/3/2024,Liverpool Lime Street,Manchester Piccadilly,00:00.0,30:00.0,30:00.0,On-time,NULL
216,218,1/2/2024,London St Pancras,Birmingham New Street,00:00.0,20:00.0,20:00.0,On-time,NULL
217,219,1/3/2024,London Paddington,Reading,00:00.0,00:00.0,00:00.0,On-time,NULL
218,220,1/3/2024,London Kings Cross,Liverpool Lime Street,15:00.0,30:00.0,30:00.0,On-time,NULL
219,221,1/2/2024,Liverpool Lime Street,Manchester Piccadilly,15:00.0,45:00.0,17:00.0,Delayed,Technical Issue
220,222,1/3/2024,London Kings Cross,Liverpool Lime Street,15:00.0,30:00.0,30:00.0,On-time,NULL
221,223,1/3/2024,London Kings Cross,York,30:00.0,20:00.0,20:00.0,On-time,NULL
222,224,1/3/2024,London Euston,Birmingham New Street,30:00.0,50:00.0,50:00.0,On-time,NULL
223,225,1/2/2024,London Paddington,Reading,45:00.0,45:00.0,45:00.0,On-time,NULL
224,226,1/2/2024,York,Edinburgh,45:00.0,15:00.0,15:00.0,On-time,NULL
225,227,1/2/2024,London Euston,Birmingham New Street,45:00.0,05:00.0,05:00.0,On-time,NULL
226,228,1/2/2024,Reading,London Paddington,30:00.0,55:00.0,NULL,Cancelled,Staffing
227,229,1/3/2024,London Kings Cross,York,30:00.0,20:00.0,20:00.0,On-time,NULL
228,230,1/2/2024,Manchester Piccadilly,Liverpool Lime Street,30:00.0,00:00.0,00:00.0,On-time,NULL
229,231,1/3/2024,Manchester Piccadilly,Liverpool Lime Street,00:00.0,30:00.0,24:00.0,Delayed,Staff Shortage
230,232,1/3/2024,London St Pancras,Birmingham New Street,00:00.0,20:00.0,20:00.0,On-time,NULL
231,233,1/3/2024,London Kings Cross,York,00:00.0,50:00.0,50:00.0,On-time,NULL
232,234,1/2/2024,Manchester Piccadilly,Liverpool Lime Street,30:00.0,00:00.0,00:00.0,On-time,NULL
233,235,1/2/2024,London Kings Cross,York,30:00.0,20:00.0,20:00.0,On-time,NULL
234,236,1/2/2024,London Kings Cross,York,30:00.0,20:00.0,20:00.0,On-time,NULL
235,237,1/3/2024,London Euston,Birmingham New Street,45:00.0,05:00.0,05:00.0,On-time,NULL
236,238,1/3/2024,London Kings Cross,York,45:00.0,35:00.0,35:00.0,On-time,NULL
237,239,1/3/2024,London St Pancras,Birmingham New Street,00:00.0,20:00.0,20:00.0,On-time,NULL
238,240,1/2/2024,London Paddington,Reading,00:00.0,00:00.0,00:00.0,On-time,NULL
239,241,1/2/2024,London Paddington,Reading,00:00.0,00:00.0,00:00.0,On-time,NULL
240,242,1/2/2024,London St Pancras,Birmingham New Street,15:00.0,35:00.0,35:00.0,On-time,NULL
241,243,1/2/2024,London Paddington,Reading,30:00.0,30:00.0,30:00.0,On-time,NULL
242,244,1/3/2024,London Euston,Birmingham New Street,45:00.0,05:00.0,05:00.0,On-time,NULL
243,245,1/2/2024,York,Edinburgh,45:00.0,15:00.0,15:00.0,On-time,NULL
244,246,1/3/2024,London Paddington,Reading,45:00.0,45:00.0,NULL,Cancelled,Technical Issue
245,247,1/3/2024,London Euston,Birmingham New Street,45:00.0,05:00.0,05:00.0,On-time,NULL
246,248,1/2/2024,London Euston,Birmingham New Street,45:00.0,05:00.0,05:00.0,On-time,NULL
247,249,1/2/2024,York,Peterborough,00:00.0,10:00.0,10:00.0,On-time,NULL
248,250,1/2/2024,London Euston,Birmingham New Street,00:00.0,20:00.0,NULL,Cancelled,Technical Issue
249,251,1/2/2024,London Euston,Birmingham New Street,00:00.0,20:00.0,NULL,Cancelled,Technical Issue
250,252,1/2/2024,Liverpool Lime Street,Manchester Piccadilly,00:00.0,30:00.0,30:00.0,On-time,NULL
251,253,1/2/2024,London St Pancras,Birmingham New Street,00:00.0,20:00.0,20:00.0,On-time,NULL
252,254,1/2/2024,London Euston,Birmingham New Street,00:00.0,20:00.0,NULL,Cancelled,Technical Issue
253,255,1/2/2024,London Euston,Birmingham New Street,00:00.0,20:00.0,NULL,Cancelled,Technical Issue
254,256,1/2/2024,London St Pancras,Birmingham New Street,00:00.0,20:00.0,20:00.0,On-time,NULL
255,257,1/2/2024,London Kings Cross,York,15:00.0,05:00.0,05:00.0,On-time,NULL
256,258,1/2/2024,Manchester Piccadilly,Liverpool Lime Street,15:00.0,45:00.0,45:00.0,On-time,NULL
257,259,1/3/2024,Liverpool Lime Street,Manchester Piccadilly,15:00.0,45:00.0,45:00.0,On-time,NULL
258,260,1/3/2024,Liverpool Lime Street,Manchester Piccadilly,15:00.0,45:00.0,45:00.0,On-time,NULL
259,261,1/2/2024,London Kings Cross,York,45:00.0,35:00.0,35:00.0,On-time,NULL
260,262,1/3/2024,Manchester Piccadilly,London Paddington,45:00.0,00:00.0,00:00.0,On-time,NULL
261,263,1/2/2024,Reading,Swindon,45:00.0,30:00.0,30:00.0,On-time,NULL
262,264,1/2/2024,Birmingham New Street,Stafford,45:00.0,15:00.0,15:00.0,On-time,NULL
263,265,1/2/2024,London Kings Cross,York,15:00.0,05:00.0,05:00.0,On-time,NULL
264,266,1/2/2024,Liverpool Lime Street,Manchester Piccadilly,15:00.0,45:00.0,45:00.0,On-time,NULL
265,267,1/2/2024,Manchester Piccadilly,Liverpool Lime Street,45:00.0,15:00.0,15:00.0,On-time,NULL
